source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms+nasscom,Talentica Software,"Pune, India",https://www.talentica.com/?utm_source=Goodfirms&utm_medium=listing&utm_campaign=Goodfirms&utm_term=profile,talentica.com,2003,250+,,,,,,A,already_in_crm,domain talentica.com on a live deal
goodfirms,Biz4Solutions LLC,"Pune, India",https://www.biz4solutions.com/,biz4solutions.com,2011,50-249,,,,,,A,already_in_crm,domain biz4solutions.com on a live deal
goodfirms,Deqode,"Pune, India",http://deqode.com,deqode.com,2016,250+,,,,,,A,already_in_crm,domain deqode.com on a live deal
goodfirms,Plexusbit Software,"Pune, India",http://plexusbit.com,plexusbit.com,2010,10-49,,,,,,A,already_in_crm,domain plexusbit.com on a live deal
goodfirms+nasscom,EC Infosolutions,"Pune, India",https://www.ecinfosolutions.com/,ecinfosolutions.com,2007,10-49,,,,,,A,already_in_crm,domain ecinfosolutions.com on a live deal
goodfirms,Codevian Technologies Pvt Ltd,"Pune, India",http://codevian.com/,codevian.com,2018,50-249,,,,,,A,already_in_crm,"name ~ ""codevian"" >=0.92"
goodfirms,Pratiti Technologies Pvt Ltd.,"Pune, India",https://www.pratititech.com/,pratititech.com,2015,10-49,,,,,,A,already_in_crm,"name ~ ""pratiti"" >=0.92"
goodfirms,Brainmine Web Solutions,"Pune, India",https://www.brainminetech.com,brainminetech.com,2011,50-249,,,,,,A,already_in_crm,domain brainminetech.com on a live deal
goodfirms,Thinkitive Technologies Pvt. Ltd.,"Pune, India",https://thinkitive.com/,thinkitive.com,2015,250+,,,,,,A,already_in_crm,domain thinkitive.com on a live deal
goodfirms,Scalex Technology Solutions,"Pune, India",https://scalextech.com/,scalextech.com,2015,10-49,,,,,,A,already_in_crm,domain scalextech.com on a live deal
goodfirms,Edhaas Digisoft Pvt. Ltd.,"Pune, India",https://www.edhaasdigisoft.com,edhaasdigisoft.com,2018,<10,,,,,,A,already_in_crm,"name ~ ""edhaas digisoft"" >=0.92"
goodfirms,Arieotech,"Pune, India",https://www.arieotech.com/,arieotech.com,2020,50-249,,,,,,A,already_in_crm,domain arieotech.com on a live deal
goodfirms,REGO Techno Solutions,"Pune, India",http://regotechnosolutions.com/,regotechnosolutions.com,2016,50-249,,,,,,A,already_in_crm,domain regotechnosolutions.com on a live deal
goodfirms,Cloud9 Technologies,"Pune, India",http://pmtrackerp.in/,pmtrackerp.in,2012,10-49,,,,,,A,already_in_crm,domain pmtrackerp.in on a live deal
goodfirms,Noetic Labs pvt ltd,"Pune, India",https://noetic-labs.com/,noetic-labs.com,2010,10-49,,,,,,A,already_in_crm,domain noetic-labs.com on a live deal
goodfirms,Ariston IT Services,"Pune, India",https://www.aristonitservices.com/,aristonitservices.com,2017,10-49,,,,,,A,already_in_crm,domain aristonitservices.com on a live deal
goodfirms+nasscom,Shivrai technologies,"Pune, India",http://www.shivrai.co.in/,shivrai.co.in,1970,50-249,,,,,,A,already_in_crm,domain shivrai.co.in on a live deal
goodfirms,Alphalogic Techsys Limited,"Pune, India",https://www.alphalogicinc.com/,alphalogicinc.com,2008,50-249,,,,,,A,already_in_crm,domain alphalogicinc.com on a live deal
goodfirms,Appzia Technologies,"Pune, India",https://www.appziatech.com/,appziatech.com,2015,50-249,,,,,,A,already_in_crm,domain appziatech.com on a live deal
goodfirms,Emsphere Technologies,"Pune, India",https://www.emsphere.com/,emsphere.com,2006,10-49,,,,,,A,already_in_crm,domain emsphere.com on a live deal
goodfirms,Hexanovate,"Pune, India",https://hexanovate.in/,hexanovate.in,2019,10-49,,,,,,A,already_in_crm,domain hexanovate.in on a live deal
goodfirms,Futurism Technologies,"Pune, India",https://www.futurismtechnologies.com/,futurismtechnologies.com,2003,250+,,,,,,A,already_in_crm,domain futurismtechnologies.com on a live deal
goodfirms,Mindpool Technologies,"Pune, India",https://mindpooltech.com,mindpooltech.com,2011,50-249,,,,,,A,already_in_crm,domain mindpooltech.com on a live deal
goodfirms,Codetentacles Technologies,"Pune, India",https://codetentaclestechnologies.com/,codetentaclestechnologies.com,2017,10-49,,,,,,A,already_in_crm,domain codetentaclestechnologies.com on a live deal
goodfirms,iAssure International Technologies Pvt. Ltd,"Pune, India",https://www.iassureit.com,iassureit.com,2011,50-249,,,,,,A,already_in_crm,domain iassureit.com on a live deal
goodfirms,Sm Softwares,"Pune, India",https://smsoftwares.com/,smsoftwares.com,2016,10-49,,,,,,A,already_in_crm,domain smsoftwares.com on a live deal
goodfirms,TechVerito,"Pune, India",https://techverito.com/,techverito.com,2016,10-49,,,,,,A,already_in_crm,"name ~ ""techverito"" >=0.92"
goodfirms,AISCOR Private Limited,"Pune, India",http://aiscor.com,aiscor.com,2015,10-49,,,,,,A,already_in_crm,domain aiscor.com on a live deal
goodfirms,Gunadhya Software Solutions,"Pune, India",https://www.gunadhyasoft.com/,gunadhyasoft.com,2015,10-49,,,,,,A,already_in_crm,domain gunadhyasoft.com on a live deal
goodfirms,Sarathi,"Pune, India",https://sarathisoftech.com/,sarathisoftech.com,2010,10-49,,,,,,A,already_in_crm,domain sarathisoftech.com on a live deal
goodfirms,Angular Minds,"Pune, India",https://www.angularminds.com/,angularminds.com,2011,50-249,,,,,,A,already_in_crm,domain angularminds.com on a live deal
goodfirms,DATAMATO,"Pune, India",https://www.datamato.com/,datamato.com,2012,50-249,,,,,,A,already_in_crm,domain datamato.com on a live deal
goodfirms,Ecotech IT Solutions,"Pune, India",https://www.ecotechservices.com,ecotechservices.com,2000,50-249,,,,,,A,already_in_crm,domain ecotechservices.com on a live deal
goodfirms,Kanix InfoTech,"Pune, India",http://www.kanix.com/index.html,kanix.com,1994,50-249,,,,,,A,already_in_crm,domain kanix.com on a live deal
goodfirms,Prescient Technologies Pvt Ltd,"Pune, India",https://www.pre-scient.com/,pre-scient.com,2000,50-249,,,,,,A,already_in_crm,domain pre-scient.com on a live deal
goodfirms,Celestiq Datatech Pvt. Ltd,"Pune, India",https://celestiq.com/best-web-development-company-in-pune/,celestiq.com,2018,10-49,,,,,,A,already_in_crm,domain celestiq.com on a live deal
goodfirms,Business Marketing Solution,"Pune, India",https://bmmarketingsolution.com/,bmmarketingsolution.com,2018,10-49,,,,,,A,already_in_crm,domain bmmarketingsolution.com on a live deal
goodfirms,Mechsoft Digital Technologies Pvt Ltd,"Pune, India",https://mechsoftgroup.com/,mechsoftgroup.com,1996,10-49,,,,,,A,already_in_crm,domain mechsoftgroup.com on a live deal
goodfirms,Custom-Soft,"Pune, India",https://www.custom-soft.biz/,custom-soft.biz,2006,10-49,,,,,,A,already_in_crm,domain custom-soft.biz on a live deal
