source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
goodfirms,IDATTEC,"Bengaluru, India",https://idattec.com/,idattec.com,2019,10-49,10-49,,False,False,False
goodfirms,EQUANTECH SOLUTIONS PVT LTD,"Bengaluru, India",https://www.equantechsolutions.com,equantechsolutions.com,2021,10-49,10-49,,False,False,True
goodfirms,Truerize IQ Strategic Solutions Pvt Ltd,"Bengaluru, India",https://www.truerize.com/,truerize.com,2020,50-249,50-249,,False,False,False
goodfirms,WeframeTech,"Bengaluru, India",https://weframetech.com/,weframetech.com,2020,10-49,10-49,,False,False,False
goodfirms,Techinflo solution pvt ltd,"Bengaluru, India",https://www.techinflo.com/,techinflo.com,,10-49,10-49,,False,False,False
goodfirms,Six30 Labs Pvt. Ltd.,"Bengaluru, India",https://six30labs.io/,six30labs.io,,10-49,10-49,,False,False,False
goodfirms,Detrans Solutions LLP,"Bengaluru, India",https://www.detrans.io/,detrans.io,,10-49,10-49,,False,False,False
goodfirms,Gideons Catalyst,"Bengaluru, India",https://gideons.tech,gideons.tech,2018,10-49,10-49,,False,False,False
goodfirms,Sodaru Technologies,"Bengaluru, India",https://sodaru.com,sodaru.com,2020,10-49,10-49,,False,False,False
goodfirms,Techsopi Global Pvt Ltd,"Bengaluru, India",https://techsopi.com/,techsopi.com,,10-49,10-49,,False,False,False
goodfirms,Greypath Solutions,"Bengaluru, India",https://www.greypathsolutions.com/,greypathsolutions.com,2004,10-49,10-49,,False,False,False
goodfirms,Corsel Technologies,"Bengaluru, India",https://corseltechnologies.com/,corseltechnologies.com,2017,50-249,50-249,,False,False,False
goodfirms,Magnence,"Bengaluru, India",https://www.magnence.com,magnence.com,2020,50-249,50-249,,False,False,False
goodfirms,Clarity Information Technologes Pvt Ltd,"Bengaluru, India",https://claritytechnologies.com,claritytechnologies.com,1994,10-49,10-49,,False,False,False
goodfirms,Spritz LLC,"Bengaluru, India",http://www.spritzsf.com/,spritzsf.com,2009,10-49,10-49,,False,False,False
goodfirms,Techiesys It Solutions,"Bengaluru, India",http://www.techiesys.in/,techiesys.in,2014,50-249,50-249,,False,False,False
goodfirms,Gramener IT Services,"Bengaluru, India",https://www.gramenerit.com,gramenerit.com,2010,50-249,50-249,,False,False,False
goodfirms,Third Eye Infosystems,"Bengaluru, India",https://thirdeyeinfo.com/,thirdeyeinfo.com,2019,10-49,10-49,,False,False,False
goodfirms,Vispara Technosoft Pvt Ltd,"Bengaluru, India",https://visparatechnosoft.com,visparatechnosoft.com,,10-49,10-49,,False,False,False
