source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
ASSOC:HYSEA,Selectsys India Pvt. Ltd.,,https://selectsysindia.com,selectsysindia.com,,,,,True,False,False
ASSOC:HYSEA,Silicon Labs,,https://silabs.com,silabs.com,,,,,True,False,False
ASSOC:GTECH,Skysmile Technologies Private Limited,,https://skysmiletechnologies.com,skysmiletechnologies.com,,,,,True,False,False
ASSOC:GTECH,Smart Data Factory,,https://smart-data-factory.de,smart-data-factory.de,,,,,True,False,False
ASSOC:HYSEA,TECHGENE SOLUTIONS PVT LTD,,https://techgene.com,techgene.com,,,,,True,False,False
ASSOC:GTECH,TECHMAVEN IT SOLUTIONS PRIVATE LIMITED,,https://techmavenit.com,techmavenit.com,,,,,True,False,False
ASSOC:HYSEA,TGH Software Solutions Private Limited,,https://techygeekhub.com,techygeekhub.com,,,,,True,False,False
ASSOC:GTECH,THOUGHTLINE DIGITAL PRIVATE LIMITED,,https://thoughtlinedigital.com,thoughtlinedigital.com,,,,,True,False,False
ASSOC:GTECH,TOSIL Systems Private Limited,,https://tosil-systems.com,tosil-systems.com,,,,,True,False,False
ASSOC:HYSEA,TRACERT SERVICES PRIVATE LIMITED,,https://tracert.digital,tracert.digital,,,,,True,False,False
ASSOC:HYSEA,TTEC Digital Innovation Studio,,https://ttecdigital.com,ttecdigital.com,,,,,True,False,False
ASSOC:GTECH,Technaureus Info Solutions Private Limited,,https://technaureus.com,technaureus.com,,,,,True,False,False
ASSOC:GTECH,Technocuz Software Solutions Pvt. Ltd.,,https://technocuz.com,technocuz.com,,,,,True,False,False
ASSOC:GTECH,Techstas Info Solutions,,https://techstas.com,techstas.com,,,,,True,False,False
ASSOC:GTECH,Techversant Infotech Pvt. Ltd.,,https://techversantinfotech.com,techversantinfotech.com,,,,,True,False,False
ASSOC:HYSEA,Tetrasoft India Pvt Ltd,,https://tetrasoft.us,tetrasoft.us,,,,,True,False,False
ASSOC:GTECH,ThoughtLine Technologies Pvt. Ltd.,,https://thoughtlinetech.com,thoughtlinetech.com,,,,,True,False,False
ASSOC:GTECH,Tilt Labs,,https://tiltlabs.io,tiltlabs.io,,,,,True,False,False
ASSOC:HYSEA,Tripod Software Solutions Pvt Ltd,,https://tripodtech.net,tripodtech.net,,,,,True,False,False
ASSOC:HYSEA,VENDEEP TECHNOIDENTITY SOLUTIONS PRIVATE LIMIT,,https://technoidentity.com,technoidentity.com,,,,,True,False,False
ASSOC:HYSEA,Vasavi Prosoft Transcription Ltd.,,https://vasaviprosoft.com,vasaviprosoft.com,,,,,True,False,False
ASSOC:HYSEA,Wings Infonet Private Limited,,https://wingsinfo.net,wingsinfo.net,,,,,True,False,False
ASSOC:GTECH,Zestybeanz Technologies,,https://zbeanztech.com,zbeanztech.com,,,,,True,False,False
ASSOC:ITAAP,amaravathisoftware,,https://amaravathisoftware.com,amaravathisoftware.com,,,,,True,False,False
ASSOC:ITAAP,appsdreamz,,https://appsdreamz.com,appsdreamz.com,,,,,True,False,False
ASSOC:GESIA,appsrow,,https://appsrow.com,appsrow.com,,,,,True,False,False
ASSOC:GESIA,augmentedtechlabs,,https://augmentedtechlabs.com,augmentedtechlabs.com,,,,,True,False,False
ASSOC:ITAAP,bluebytetechnologies,,https://bluebytetechnologies.com,bluebytetechnologies.com,,,,,True,False,False
ASSOC:ITAAP,bposystems,,https://bposystems.com,bposystems.com,,,,,True,False,False
ASSOC:ITAAP,camsysind,,https://camsysind.com,camsysind.com,,,,,True,False,False
ASSOC:ITAAP,chatrtech,,https://chatrtech.com,chatrtech.com,,,,,True,False,False
ASSOC:GESIA,cizotech,,https://cizotech.com,cizotech.com,,,,,True,False,False
ASSOC:ITAAP,cloudmaaya,,https://cloudmaaya.com,cloudmaaya.com,,,,,True,False,False
ASSOC:ITAAP,clovetech,,https://clovetech.com,clovetech.com,,,,,True,False,False
ASSOC:HYSEA,corporate website design,,https://presentation.revalsys.com,presentation.revalsys.com,,,,,True,False,False
ASSOC:GESIA,cygnetinfotech,,https://cygnetinfotech.com,cygnetinfotech.com,,,,,True,False,False
ASSOC:ITAAP,datasoftcomnet,,https://datasoftcomnet.com,datasoftcomnet.com,,,,,True,False,False
ASSOC:GESIA,deltainfosoft,,https://deltainfosoft.com,deltainfosoft.com,,,,,True,False,False
ASSOC:ITAAP,disruptivetechsolutions,,https://disruptivetechsolutions.com,disruptivetechsolutions.com,,,,,True,False,False
ASSOC:GESIA,drcsystems,,https://drcsystems.com,drcsystems.com,,,,,True,False,False
ASSOC:HYSEA,eLogicTech Solutions India Private Limited,,https://elogictech.com,elogictech.com,,,,,True,False,False
ASSOC:GESIA,earthsyscom,,https://earthsyscom.com,earthsyscom.com,,,,,True,False,False
ASSOC:GESIA,ecsinfotech,,https://ecsinfotech.com,ecsinfotech.com,,,,,True,False,False
ASSOC:GESIA,einfochips,,https://einfochips.com,einfochips.com,,,,,True,False,False
ASSOC:ITAAP,emugtech,,https://emugtech.com,emugtech.com,,,,,True,False,False
ASSOC:GESIA,etechgs,,https://etechgs.com,etechgs.com,,,,,True,False,False
ASSOC:GESIA,fin-soft,,https://fin-soft.com,fin-soft.com,,,,,True,False,False
ASSOC:ITAAP,gennext-tech,,https://gennext-tech.com,gennext-tech.com,,,,,True,False,False
ASSOC:GESIA,glidemtech,,https://glidemtech.com,glidemtech.com,,,,,True,False,False
ASSOC:ITAAP,glssystems,,https://glssystems.com,glssystems.com,,,,,True,False,False
ASSOC:ITAAP,honeylabs,,https://honeylabs.com,honeylabs.com,,,,,True,False,False
ASSOC:ITAAP,hrishitatech,,https://hrishitatech.com,hrishitatech.com,,,,,True,False,False
ASSOC:GESIA,hvinfotech,,https://hvinfotech.com,hvinfotech.com,,,,,True,False,False
ASSOC:ITAAP,innovateapps,,https://innovateapps.com,innovateapps.com,,,,,True,False,False
ASSOC:GESIA,itechops,,https://itechops.com,itechops.com,,,,,True,False,False
ASSOC:ITAAP,jkssofttech,,https://jkssofttech.com,jkssofttech.com,,,,,True,False,False
ASSOC:ITAAP,juranttech,,https://juranttech.com,juranttech.com,,,,,True,False,False
ASSOC:GESIA,kalpsystems,,https://kalpsystems.com,kalpsystems.com,,,,,True,False,False
ASSOC:ITAAP,karthikeyainfominds,,https://karthikeyainfominds.com,karthikeyainfominds.com,,,,,True,False,False
ASSOC:ITAAP,kpcstech,,https://kpcstech.com,kpcstech.com,,,,,True,False,False
ASSOC:ITAAP,maltechs,,https://maltechs.com,maltechs.com,,,,,True,False,False
ASSOC:ITAAP,manuhtech,,https://manuhtech.com,manuhtech.com,,,,,True,False,False
