run_id,actor,status,started_at,finished_at,usage_usd
vrJdorK9smgtsfFPb,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:15:42.809Z,2026-09-01T07:15:50.021Z,0.024
Mu3nqhQOuKCe9kN5S,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:47:09.815Z,2026-09-01T07:47:42.167Z,0.4
RhWtJBQeoHrP4DUwT,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-09-01T07:47:34.922Z,2026-09-01T08:00:53.300Z,7.729399999999999
JWK27rqnqwfNIn6Mr,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:47:55.401Z,2026-09-01T07:48:25.325Z,0.4
6Hs0DQj4VlKC1Pm7t,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:48:30.098Z,2026-09-01T07:49:03.630Z,0.4
jVwKqn0kDaWwD5edc,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:49:16.900Z,2026-09-01T07:49:54.272Z,0.4
8UskvTBCayYHPOlcZ,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T07:50:02.765Z,2026-09-01T07:50:16.682Z,0.176
Qigy85SIdDM2MSEGn,harvestapi/linkedin-company,SUCCEEDED,2026-09-01T08:01:04.335Z,2026-09-01T08:01:30.970Z,0.41605000000000003
CAH7yXQZMF27ojhAv,apify/google-search-scraper,SUCCEEDED,2026-09-01T08:02:30.110Z,2026-09-01T08:38:35.227Z,4.6985
acK0NdrCjERAg7SeR,apify/google-search-scraper,SUCCEEDED,2026-09-01T08:07:54.605Z,2026-09-01T08:26:11.339Z,1.8359999999999999
OC9QenefJVU7Q8ZdX,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T08:39:45.742Z,2026-09-01T08:40:17.684Z,0.4
LguU3owqEkJUqxA9N,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T08:40:29.628Z,2026-09-01T08:41:01.814Z,0.4
bUAyj5yN6N6LIKzxg,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T08:41:13.668Z,2026-09-01T08:41:47.371Z,0.4
q2M6irKxEXkefa0Kd,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T08:41:57.541Z,2026-09-01T08:42:29.202Z,0.4
SezZD0bWeNhhcNKDm,harvestapi/linkedin-profile-scraper,ABORTED,2026-09-01T08:42:41.651Z,2026-09-01T08:43:09.241Z,0.356
Zx4MyPcskrEGc4FcK,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:04:23.163Z,2026-09-01T09:04:54.556Z,0.4
sihDgkbZgKN3u9OqI,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:05:06.978Z,2026-09-01T09:05:38.401Z,0.4
2CQ3SSyeNdAurXUe6,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:05:57.591Z,2026-09-01T09:06:30.082Z,0.4
C0Eq5fDdM0xQrzEX5,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:06:41.597Z,2026-09-01T09:07:15.631Z,0.4
9zk2WNZahRhSOImRo,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:07:25.731Z,2026-09-01T09:08:01.457Z,0.4
2Tc8YjdNQfCAjLpwl,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:08:09.987Z,2026-09-01T09:08:58.327Z,0.4
fmj3iYHFIfwTN7e76,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:09:04.874Z,2026-09-01T09:09:38.640Z,0.4
wKDTJ2fvZjZ3UFxXN,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:09:48.833Z,2026-09-01T09:10:28.730Z,0.4
AsNLcTCAumyeagArN,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:10:33.530Z,2026-09-01T09:11:02.798Z,0.4
Nd7qyH3v8itgfZ0cb,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:11:06.797Z,2026-09-01T09:11:46.593Z,0.4
jwNbYEA9XKb1h0Bxs,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:11:51.165Z,2026-09-01T09:12:26.129Z,0.4
KSI1gunRfmS76rXjz,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:12:36.284Z,2026-09-01T09:13:11.846Z,0.4
sUUQNlb0Nee2pViWG,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:13:22.727Z,2026-09-01T09:14:05.753Z,0.4
zCNQ1xpNpAs17BYJ5,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:14:17.931Z,2026-09-01T09:14:55.686Z,0.4
333joBLkEoOwwxEEd,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:15:04.813Z,2026-09-01T09:15:40.996Z,0.4
iD844IzM0J77tG9GK,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:15:49.244Z,2026-09-01T09:16:24.329Z,0.4
pqOZwKnfFYbohlGFh,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:16:34.874Z,2026-09-01T09:17:12.305Z,0.4
6hvxsX3D5c4Kjeed2,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:17:20.367Z,2026-09-01T09:17:55.167Z,0.4
WOkvH59qUM03I4aaL,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:18:05.181Z,2026-09-01T09:18:41.069Z,0.4
