rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
1789,ThiriSoft Consultancy Services,Ahmedabad,1,https://thirisoft.com,thirisoft.com,,,,
1801,TO THE NEW Private Limited,Noida,1,http://www.tothenew.com,tothenew.com,,,,
1813,TQuanta Technologies Private Limited,Hyderabad,1,http://www.tquanta.com,tquanta.com,,,,
1825,Trassir Sentinel Private Limited,Navi Mumbai,1,https://trassir.com/,trassir.com,,,,
1837,TSL Consulting Private Limited,Pune,1,https://tslconsulting.in/,tslconsulting.in,,,,
1849,UBS Business Solutions (India) Private Limited,Pune,1,http://www.ubs.com,ubs.com,,,,
1861,Uniqus India Private Limited,Bengaluru,1,https://uniqus.com/,uniqus.com,,,,
1873,UTI Infrastructure Technology and Services Limited,Navi Mumbai,1,https://www.utiitsl.com/,utiitsl.com,,,,
1885,Vara Technology Private Limited,Kolkata,1,http://www.varatechnology.com,varatechnology.com,,,,
1897,Velocity Software Solutions Pvt Ltd,Noida,1,http://www.velsof.com,velsof.com,,,,
1909,Veryx Technologies Private Limited,Chennai,1,http://www.veryxtech.com/,veryxtech.com,,,,
1921,Vinmaya Consultancy Services Private Limited,Bengaluru,1,https://vinmaya.com,vinmaya.com,,,,
1933,Vivicta Private Limited,Pune,1,https://www.vivicta.com/en/,vivicta.com,,,,
1945,Vrentin Tech Private Limited,New Delhi,1,https://muoro.io/,muoro.io,,,,
1957,Weir Minerals (India) Private Limited,Bengaluru,1,https://www.global.weir/,global.weir,,,,
1969,Wipfli India LLP,Bengaluru,1,http://www.spiderlogic.com,spiderlogic.com,,,,
1981,Worldline Global Services Private Limited,Mumbai,1,https://worldline.com/,worldline.com,,,,
1993,Xebia IT Architects India Private Limited,Gurugram,1,https://www.xebia.com,xebia.com,,,,
2005,YASH Technologies Pvt Ltd,Hyderabad,1,http://www.yash.com,yash.com,,,,
2017,Zediant Technologies Private Limited,Kolkata,1,https://www.zediant.com/,zediant.com,,,,
2029,Zifo Technologies Pvt Ltd,Chennai,1,http://www.zifotech.com,zifotech.com,,,,
2041,AB Information Technology Solutions Private Limited,Bhubaneswar,2,https://sophitoriumsgi.org/missionVision.html,sophitoriumsgi.org,,,,
2053,Airamatrix Private Limited,Thane,2,https://www.airamatrix.com/,airamatrix.com,,,,
2065,AquilaClouds India Private Limited,Dehradun,2,http://www.aquilaclouds.com,aquilaclouds.com,,,,
2077,AVA Software Private Limited,Kancheepuram,2,http://www.avasoft.biz,avasoft.biz,,,,
2089,Bitvoice Solutions Private Limited,Kochi,2,http://www.bitvoice.in,bitvoice.in,,,,
2101,Caparizon Software Private Limited,Kochi,2,http://www.itflux.com,itflux.com,,,,
2113,Codeguardian Tech International Private Limited,Gautam Buddha Nagar,2,https://www.codeguardian.ai,codeguardian.ai,,,,
2125,Crushaders Tech Solution LLP,Bhubaneswar,2,https://www.crushaderstech.com,crushaderstech.com,,,,
2137,DataQ Technology,Jaipur,2,https://www.dataqtec.com,dataqtec.com,,,,
2149,Dimensions Cybertech (India) Private Limited,Thiruvananthapuram,2,http://dimensionslive.com/,dimensionslive.com,,,,
2161,Eluminous Technologies Private Limited,Nasik,2,https://eluminoustechnologies.com,eluminoustechnologies.com,,,,
2173,Excelize AI Private Limited,Aurangabad,2,https://excelize.ai/#,excelize.ai,,,,
2185,Freelanceteams Private Limited,Ernakulam,2,https://www.crystalpm.ai,crystalpm.ai,,,,
2197,Good Methods Software Solutions Pvt Ltd,Thiruvananthapuram,2,http://www.goodmethodsglobal.com,goodmethodsglobal.com,,,,
2209,iLeaf Solutions Private Limited,Kochi,2,https://ileafsolutions.com,ileafsolutions.com,,,,
2221,"Infoparks, Kerala",Ernakulam,2,http://www.infopark.in,infopark.in,,,,
2233,Intimetec Visionsoft Pvt Ltd,Jaipur,2,http://www.intimetec.com,intimetec.com,,,,
2245,Krescent IT Labs Private Limited,Chandigarh(CH),2,https://www.kitlabs.us,kitlabs.us,,,,
2257,Lulu Tech Park Private Limited,Kochi,2,https://lulutechpark.com/,lulutechpark.com,,,,
2269,Mindmill Software Limited,Gautam Buddha Nagar,2,https://www.mindmill.com,mindmill.com,,,,
2281,Naviga Technology Solutions Private Limited,Gautam Buddha Nagar,2,https://www.navigaglobal.com/,navigaglobal.com,,,,
2293,Nextgen Screening Private Limited,Gautam Buddha Nagar,2,https://www.nextgenscreening.com/,nextgenscreening.com,,,,
2305,Orimark Technologies Private Limited,Bhubaneswar,2,http://orimarktechnologies.com/,orimarktechnologies.com,,,,
2317,Phykon Solutions Pvt Ltd,Thiruvananthapuram,2,http://www.phykon.com,phykon.com,,,,
2329,Promact Infotech Private Limited,Vadodara,2,https://promactinfo.com/,promactinfo.com,,,,
2341,QuasarCyberTech Private Limited,Nashik,2,https://quasarcybertech.com,quasarcybertech.com,,,,
2353,Rishabh Software Pvt Ltd,Vadodara,2,http://www.rishabhsoft.com,rishabhsoft.com,,,,
2365,Sathya Technosoft India Private Limited,Tuticorin,2,https://www.sathyainfo.com,sathyainfo.com,,,,
2377,Shass Information & Quality Engineering Services,Guwahati,2,https://siqes.com,siqes.com,,,,
2389,SLR Infotech Pvt Ltd,Chandigarh(CH),2,http://www.slrinfotech.org,slrinfotech.org,,,,
