status,company,domain,city,score,reason_or_rank,lead_source,owner,deal_id
Tier-B reserve (active),RAPID DATA LABS,rapiddatalabs.com,"Ahmedabad, India",65,rank 16,,,
Tier-B reserve (active),Tntra,tntra.io,"Vadodara, India",65,rank 23,,,
Tier-B reserve (active),arth infosoft pvt ltd,arthinfosoft.in,"Ahmedabad, India",65,rank 34,,,
Tier-B reserve (active),Odan Infotech,odaninfotech.com,"Surat, India",65,rank 37,,,
Tier-B reserve (active),Vetron IT Servcies,vetron.in,"Surat, India",65,rank 38,,,
Tier-B reserve (active),Empiric Infotech LLP,empiricinfotech.com,"Surat, India",65,rank 41,,,
Tier-B reserve (active),KGN Technologies,kgntechnologies.com,"Ahmedabad, India",65,rank 45,,,
Tier-B reserve (active),Avishkar IT Services,avishkaritservices.com,"Vadodara, India",65,rank 58,,,
Tier-B reserve (active),Aarvi Technology,aarvitechnology.com,"Surat, India",65,rank 60,,,
Tier-B reserve (active),Matlab Infotech,matlabinfotech.com,"Surat, India",65,rank 65,,,
Tier-B reserve (active),Pavans Group,pavansgroup.com,"Vadodara, India",65,rank 66,,,
Tier-B reserve (active),Pixlogix Infotech Pvt. Ltd,pixlogix.com,"Ahmedabad, India",65,rank 68,,,
Tier-B reserve (active),Novus Logics,novuslogics.com,"Ahmedabad, India",65,rank 70,,,
Tier-B reserve (active),Sarvadhi Solutions Pvt Ltd,sarvadhi.com,"Surat, India",65,rank 91,,,
Tier-B reserve (active),Tech Celerity Global Solutions Pvt. Ltd.,techcelerity.com,"Ahmedabad, India",65,rank 92,,,
Tier-B reserve (active),Rushkar,rushkar.com,"Ahmedabad, India",65,rank 94,,,
Tier-B reserve (active),Multipz Technology,multipz.com,"Ahmedabad, India",65,rank 99,,,
Tier-B reserve (active),Siddhi Infosoft,siddhiinfosoft.com,"Ahmedabad, India",65,rank 100,,,
Tier-B reserve (active),InfyOm Technologies,infyom.com,"Surat, India",65,rank 102,,,
Tier-B reserve (active),The Intellify,theintellify.com,"Ahmedabad, India",62,rank 114,,,
Tier-B reserve (active),Spiral Technolabs Pvt Ltd,spiraltechnolabs.com,"Ahmedabad, India",62,rank 116,,,
Tier-B reserve (active),Codewinglet Private Limited,codewinglet.com,"Surat, India",62,rank 119,,,
Tier-B reserve (active),DigiPay.Guru,digipay.guru,"Ahmedabad, India",60,rank 127,,,
Tier-B reserve (active),Nivida software,nividasoftware.com,"Vadodara, India",60,rank 136,,,
Tier-B reserve (active),LahaGora,lahagora.com,"Surat, India",60,rank 142,,,
Tier-B reserve (active),Devstree IT Solutions,devstree.com,"Ahmedabad, India",60,rank 146,,,
Tier-B reserve (active),Budventure Technologies Pvt. Ltd.,budventure.technology,"Ahmedabad, India",60,rank 151,,,
Tier-B reserve (active),PlanicsDev Infotech LLP,planicsdev.com,"Surat, India",60,rank 153,,,
Tier-B reserve (active),Prakash Software Solutions Pvt Ltd,prakashinfotech.com,"Vadodara, India",60,rank 158,,,
Tier-B reserve (active),Silicon IT Hub,siliconithub.com,"Ahmedabad, India",60,rank 161,,,
Tier-B reserve (active),AllianceTek,alliancetek.com,"Ahmedabad, India",60,rank 165,,,
Tier-B reserve (active),Mobio Solutions,mobiosolutions.com,"Ahmedabad, India",60,rank 171,,,
Tier-B reserve (active),Seawind Solution Pvt Ltd,seawindsolution.com,"Ahmedabad, India",60,rank 172,,,
Tier-B reserve (active),Citta Solutions Pvt Ltd,cittasolutions.com,"Ahmedabad, India",60,rank 173,,,
Tier-B reserve (active),Pardy Panda Studios,pardypanda.com,"Vadodara, India",60,rank 178,,,
Tier-B reserve (active),Lemolite,lemolite.com,"Ahmedabad, India",60,rank 183,,,
Tier-B reserve (active),Omeecron Solutions,omeecron.com,"Surat, India",60,rank 198,,,
Tier-B reserve (active),Progragon Technolabs,progragon.com,"Ahmedabad, India",60,rank 200,,,
Tier-B reserve (active),Ansi ByteCode LLP,ansibytecode.com,"Ahmedabad, India",60,rank 201,,,
Tier-B reserve (active),Theoddcoders Technologies,theoddcoders.com,"Ahmedabad, India",60,rank 212,,,
Tier-B reserve (active),LaMinds,laminds.com,"Surat, India",60,rank 225,,,
Tier-B reserve (active),Intricare Technologies,intricaretech.com,"Vadodara, India",60,rank 226,,,
Tier-B reserve (active),IngeniousMindsLab Solution Pvt. Ltd,ingeniousmindslab.com,"Ahmedabad, India",60,rank 227,,,
Tier-B reserve (active),8 webcom.com,8webcom.com,"Ahmedabad, India",60,rank 254,,,
Tier-B reserve (active),Cyblance Technologies Pvt. Ltd.,cyblance.com,"Ahmedabad, India",60,rank 263,,,
Tier-B reserve (active),Tricore Infotech PVT LTD,tricoreitsolutions.com,"Ahmedabad, India",60,rank 265,,,
Tier-B reserve (active),PEANUT SQUARE LLP,peanutsquare.com,"Ahmedabad, India",60,rank 270,,,
Tier-B reserve (active),Regenapps Clouds Private Limited,regenapps.com,"Surat, India",60,rank 286,,,
Tier-B reserve (active),JMS Advisory Services Private Limited,jmsadvisory.in,Ahmedabad,60,rank 301,,,
Tier-B reserve (active),EnactSoft,enactsoft.com,"Surat, India",60,rank 311,,,
Tier-B reserve (active),EMed HealthTech Pvt Ltd.,emedhealthtech.com,"Ahmedabad, India",60,rank 315,,,
Tier-B reserve (active),Marquee Solution,marqueesolution.com,"Surat, India",60,rank 319,,,
Tier-B reserve (active),Jash Entertainment,jashentertainment.com,"Ahmedabad, India",60,rank 342,,,
